BPR_code,CodingSchemeDesignator,CodeValue,CodeMeaning,modifier_CodingSchemeDesignator,modifier_CodeValue,modifier_CodeMeaning
C1,SCT,14806007,C1 vertebra,DCM,111010,Center
C2,SCT,39976000,C2 vertebra,DCM,111010,Center
C3,SCT,113205007,C3 vertebra,DCM,111010,Center
C4,SCT,5329002,C4 vertebra,DCM,111010,Center
C5,SCT,36978003,C5 vertebra,DCM,111010,Center
C6,SCT,36054005,C6 vertebra,DCM,111010,Center
C7,SCT,87391001,C7 vertebra,DCM,111010,Center
Th1,SCT,64864005,T1 vertebra,DCM,111010,Center
Th2,SCT,53733008,T2 vertebra,DCM,111010,Center
Th3,SCT,1626008,T3 vertebra,DCM,111010,Center
Th4,SCT,73071006,T4 vertebra,DCM,111010,Center
Th5,SCT,56401006,T5 vertebra,DCM,111010,Center
Th6,SCT,45296009,T6 vertebra,DCM,111010,Center
Th7,SCT,62487009,T7 vertebra,DCM,111010,Center
Th8,SCT,11068009,T8 vertebra,DCM,111010,Center
Th9,SCT,82687006,T9 vertebra,DCM,111010,Center
Th10,SCT,7610001,T10 vertebra,DCM,111010,Center
Th11,SCT,12989004,T11 vertebra,DCM,111010,Center
Th12,SCT,23215003,T12 vertebra,DCM,111010,Center
L1,SCT,66794005,L1 vertebra,DCM,111010,Center
L2,SCT,14293000,L2 vertebra,DCM,111010,Center
L3,SCT,36470004,L3 vertebra,DCM,111010,Center
L4,SCT,11994002,L4 vertebra,DCM,111010,Center
L5,SCT,49668003,L5 vertebra,DCM,111010,Center
pelvis_start,SCT,8106092008,Pelvis,SCT,42161009,Bottom
femur_end,SCT,71341001,Femur,SCT,421812003,Top
pelvis_end,SCT,8106092008,Pelvis,SCT,421812003,Top
kidney,SCT,64033007,Kidney,SCT,42161009,Bottom
lung_start,SCT,39607008,Lung,SCT,421610009,Bottom
lung_end,SCT,39607008,Lung,SCT,421812003,Top
liver_end,SCT,10200004,Liver,SCT,421812003,Top
teeth,SCT,28035005,"Teeth, gums and supporting structures",DCM,111010,Center
nose,SCT,45206002,Nose,SCT,42161009,Bottom
eyes_end,SCT,81745001,Eye,SCT,421812003,Top
head_end,SCT,69536005,Head,SCT,421812003,Top
