PatientID,SeriesInstanceUID,structure_name,dice_score,hausdorff_distance,hausdorff_distance_95,model,StudyInstanceUID,viewer_url
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Heart,0.939865,9.0,1.5,3d_fullres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Heart,0.820783,39.0,11.881687,2d-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Heart,0.929017,12.0,1.5,3d_lowres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Esophagus,0.751047,29.592529,8.64599,3d_fullres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Esophagus,0.740722,36.14159,10.552482,2d-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-002,1.3.6.1.4.1.32722.99.99.232988001551799080335895423941323261228,Esophagus,0.737927,36.346603,10.733728,3d_lowres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.203715003805996641695765332389135385095
LUNG1-003,1.3.6.1.4.1.32722.99.99.238922279929619243990469813419868528595,Heart,0.899286,22.251482,3.690843,3d_fullres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270
LUNG1-003,1.3.6.1.4.1.32722.99.99.238922279929619243990469813419868528595,Heart,0.898987,21.57633,3.977,2d-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270
LUNG1-003,1.3.6.1.4.1.32722.99.99.238922279929619243990469813419868528595,Heart,0.894942,21.752569,3.977,3d_lowres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270
LUNG1-003,1.3.6.1.4.1.32722.99.99.238922279929619243990469813419868528595,Esophagus,0.82588,9.105441,2.477,3d_fullres-tta_nnU-Net_Segmentation,1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270,https://viewer.imaging.datacommons.cancer.gov/viewer/1.3.6.1.4.1.32722.99.99.247726286795860121686796574974227334270
